"Time","mYWW","mYHW","mYRW","mYHH","mYHR","mYRR","myWW","myHW","myRW","myHH","myHR","myRR","fXWW","fXHW","fXRW","fXHH","fXHR","fXRR"
82,0,0,0,0,0,0,0,0,0,0,0,0,728,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,922,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,1141,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,1289,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,1454,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,1573,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,1649,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,1784,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,1845,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,1915,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,1994,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,2065,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,2168,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,2194,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,2244,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,2244,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,2255,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,2276,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,2257,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,2239,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,2245,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,2206,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,2168,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,2156,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,2114,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,2078,0,0,0,0,0
