tag,rel,x_shred,fy,pq,fl,fs,mu,j,c,rel_pct,x_shred_pct,rel_lab,x_shred_lab,x_idx,y_idx,n_runs,A_prob_elim,B_mean_tte_cond,C_median_tte_cond,tte_stat_choice,tte_to_plot,D_eq_final_norm_mean
rel0p0220_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p0000,0.022,0,0.8,0,0,1,0.97,0.25,0.93,2.1999999999999997,0,2.2,0,11,1,100,0.89,10.598768662459596,10.263013698630138,median,10.263013698630138,0.1079934180327869
rel0p0220_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p1000,0.022,0.1,0.8,0,0,1,0.97,0.25,0.93,2.1999999999999997,0.1,2.2,0.1,11,2,100,1,9.565150684931506,9.51095890410959,median,9.51095890410959,0
rel0p0220_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p2000,0.022,0.2,0.8,0,0,1,0.97,0.25,0.93,2.1999999999999997,0.2,2.2,0.2,11,3,100,1,8.914575342465753,8.932876712328767,median,8.932876712328767,0
rel0p0220_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p3000,0.022,0.3,0.8,0,0,1,0.97,0.25,0.93,2.1999999999999997,0.3,2.2,0.3,11,4,100,1,8.277232876712329,8.295890410958904,median,8.295890410958904,0
rel0p0220_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p4000,0.022,0.4,0.8,0,0,1,0.97,0.25,0.93,2.1999999999999997,0.4,2.2,0.4,11,5,100,1,7.564794520547945,7.565753424657535,median,7.565753424657535,0
rel0p0220_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p5000,0.022,0.5,0.8,0,0,1,0.97,0.25,0.93,2.1999999999999997,0.5,2.2,0.5,11,6,100,1,6.984904109589041,6.993150684931507,median,6.993150684931507,0
rel0p0220_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p6000,0.022,0.6,0.8,0,0,1,0.97,0.25,0.93,2.1999999999999997,0.6,2.2,0.6,11,7,100,1,6.411205479452055,6.416438356164384,median,6.416438356164384,0
rel0p0220_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p7000,0.022,0.7,0.8,0,0,1,0.97,0.25,0.93,2.1999999999999997,0.7,2.2,0.7,11,8,100,1,5.887342465753425,5.856164383561644,median,5.856164383561644,0
rel0p0220_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p8000,0.022,0.8,0.8,0,0,1,0.97,0.25,0.93,2.1999999999999997,0.8,2.2,0.8,11,9,100,1,5.352876712328767,5.352054794520548,median,5.352054794520548,0
rel0p0220_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p9000,0.022,0.9,0.8,0,0,1,0.97,0.25,0.93,2.1999999999999997,0.9,2.2,0.9,11,10,100,1,4.842,4.847945205479451,median,4.847945205479451,0
rel0p0220_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs1p0000,0.022,1,0.8,0,0,1,0.97,0.25,0.93,2.1999999999999997,1,2.2,1,11,11,100,1,4.37213698630137,4.365753424657534,median,4.365753424657534,0
rel0p0240_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p0000,0.024,0,0.8,0,0,1,0.97,0.25,0.93,2.4,0,2.4,0,12,1,100,0.99,9.795682855956828,9.778082191780822,median,9.778082191780822,0.009911565573770495
rel0p0240_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p1000,0.024,0.1,0.8,0,0,1,0.97,0.25,0.93,2.4,0.1,2.4,0.1,12,2,100,1,9.101068493150684,9.082191780821919,median,9.082191780821919,0
rel0p0240_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p2000,0.024,0.2,0.8,0,0,1,0.97,0.25,0.93,2.4,0.2,2.4,0.2,12,3,100,1,8.470082191780822,8.495890410958904,median,8.495890410958904,0
rel0p0240_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p3000,0.024,0.3,0.8,0,0,1,0.97,0.25,0.93,2.4,0.3,2.4,0.3,12,4,100,1,7.884301369863014,7.873972602739726,median,7.873972602739726,0
rel0p0240_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p4000,0.024,0.4,0.8,0,0,1,0.97,0.25,0.93,2.4,0.4,2.4,0.4,12,5,100,1,7.255095890410959,7.260273972602739,median,7.260273972602739,0
rel0p0240_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p5000,0.024,0.5,0.8,0,0,1,0.97,0.25,0.93,2.4,0.5,2.4,0.5,12,6,100,1,6.707424657534246,6.735616438356164,median,6.735616438356164,0
rel0p0240_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p6000,0.024,0.6,0.8,0,0,1,0.97,0.25,0.93,2.4,0.6,2.4,0.6,12,7,100,1,6.196520547945205,6.176712328767124,median,6.176712328767124,0
rel0p0240_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p7000,0.024,0.7,0.8,0,0,1,0.97,0.25,0.93,2.4,0.7,2.4,0.7,12,8,100,1,5.6707397260273975,5.645205479452055,median,5.645205479452055,0
rel0p0240_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p8000,0.024,0.8,0.8,0,0,1,0.97,0.25,0.93,2.4,0.8,2.4,0.8,12,9,100,1,5.1535890410958904,5.14931506849315,median,5.14931506849315,0
rel0p0240_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p9000,0.024,0.9,0.8,0,0,1,0.97,0.25,0.93,2.4,0.9,2.4,0.9,12,10,100,1,4.694383561643836,4.693150684931507,median,4.693150684931507,0
rel0p0240_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs1p0000,0.024,1,0.8,0,0,1,0.97,0.25,0.93,2.4,1,2.4,1,12,11,100,1,4.2693150684931505,4.258904109589041,median,4.258904109589041,0
rel0p0260_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p0000,0.026,0,0.8,0,0,1,0.97,0.25,0.93,2.6,0,2.6,0,13,1,100,1,9.198191780821917,9.165753424657535,median,9.165753424657535,0
rel0p0260_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p1000,0.026,0.1,0.8,0,0,1,0.97,0.25,0.93,2.6,0.1,2.6,0.1,13,2,100,1,8.68386301369863,8.668493150684931,median,8.668493150684931,0
rel0p0260_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p2000,0.026,0.2,0.8,0,0,1,0.97,0.25,0.93,2.6,0.2,2.6,0.2,13,3,100,1,8.062575342465754,8.05890410958904,median,8.05890410958904,0
rel0p0260_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p3000,0.026,0.3,0.8,0,0,1,0.97,0.25,0.93,2.6,0.3,2.6,0.3,13,4,100,1,7.511753424657535,7.5041095890410965,median,7.5041095890410965,0
rel0p0260_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p4000,0.026,0.4,0.8,0,0,1,0.97,0.25,0.93,2.6,0.4,2.6,0.4,13,5,100,1,7.032164383561644,6.9958904109589035,median,6.9958904109589035,0
rel0p0260_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p5000,0.026,0.5,0.8,0,0,1,0.97,0.25,0.93,2.6,0.5,2.6,0.5,13,6,100,1,6.440191780821918,6.438356164383562,median,6.438356164383562,0
rel0p0260_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p6000,0.026,0.6,0.8,0,0,1,0.97,0.25,0.93,2.6,0.6,2.6,0.6,13,7,100,1,5.947232876712329,5.950684931506849,median,5.950684931506849,0
rel0p0260_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p7000,0.026,0.7,0.8,0,0,1,0.97,0.25,0.93,2.6,0.7,2.6,0.7,13,8,100,1,5.490931506849315,5.505479452054795,median,5.505479452054795,0
rel0p0260_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p8000,0.026,0.8,0.8,0,0,1,0.97,0.25,0.93,2.6,0.8,2.6,0.8,13,9,100,1,5.028301369863014,5.013698630136986,median,5.013698630136986,0
rel0p0260_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p9000,0.026,0.9,0.8,0,0,1,0.97,0.25,0.93,2.6,0.9,2.6,0.9,13,10,100,1,4.571534246575342,4.579452054794521,median,4.579452054794521,0
rel0p0260_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs1p0000,0.026,1,0.8,0,0,1,0.97,0.25,0.93,2.6,1,2.6,1,13,11,100,1,4.157479452054795,4.154794520547945,median,4.154794520547945,0
rel0p0280_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p0000,0.028,0,0.8,0,0,1,0.97,0.25,0.93,2.8000000000000003,0,2.8,0,14,1,100,1,8.823589041095891,8.82054794520548,median,8.82054794520548,0
rel0p0280_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p1000,0.028,0.1,0.8,0,0,1,0.97,0.25,0.93,2.8000000000000003,0.1,2.8,0.1,14,2,100,1,8.245972602739727,8.221917808219178,median,8.221917808219178,0
rel0p0280_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p2000,0.028,0.2,0.8,0,0,1,0.97,0.25,0.93,2.8000000000000003,0.2,2.8,0.2,14,3,100,1,7.749150684931507,7.745205479452055,median,7.745205479452055,0
rel0p0280_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p3000,0.028,0.3,0.8,0,0,1,0.97,0.25,0.93,2.8000000000000003,0.3,2.8,0.3,14,4,100,1,7.19027397260274,7.223287671232876,median,7.223287671232876,0
rel0p0280_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p4000,0.028,0.4,0.8,0,0,1,0.97,0.25,0.93,2.8000000000000003,0.4,2.8,0.4,14,5,100,1,6.736082191780822,6.713698630136987,median,6.713698630136987,0
rel0p0280_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p5000,0.028,0.5,0.8,0,0,1,0.97,0.25,0.93,2.8000000000000003,0.5,2.8,0.5,14,6,100,1,6.232630136986302,6.2095890410958905,median,6.2095890410958905,0
rel0p0280_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p6000,0.028,0.6,0.8,0,0,1,0.97,0.25,0.93,2.8000000000000003,0.6,2.8,0.6,14,7,100,1,5.749260273972602,5.764383561643836,median,5.764383561643836,0
rel0p0280_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p7000,0.028,0.7,0.8,0,0,1,0.97,0.25,0.93,2.8000000000000003,0.7,2.8,0.7,14,8,100,1,5.30813698630137,5.301369863013699,median,5.301369863013699,0
rel0p0280_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p8000,0.028,0.8,0.8,0,0,1,0.97,0.25,0.93,2.8000000000000003,0.8,2.8,0.8,14,9,100,1,4.874,4.865753424657534,median,4.865753424657534,0
rel0p0280_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p9000,0.028,0.9,0.8,0,0,1,0.97,0.25,0.93,2.8000000000000003,0.9,2.8,0.9,14,10,100,1,4.452493150684932,4.465753424657534,median,4.465753424657534,0
rel0p0280_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs1p0000,0.028,1,0.8,0,0,1,0.97,0.25,0.93,2.8000000000000003,1,2.8,1,14,11,100,1,4.055917808219178,4.041095890410959,median,4.041095890410959,0
rel0p0300_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p0000,0.03,0,0.8,0,0,1,0.97,0.25,0.93,3,0,3,0,15,1,100,1,8.499260273972602,8.479452054794521,median,8.479452054794521,0
rel0p0300_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p1000,0.03,0.1,0.8,0,0,1,0.97,0.25,0.93,3,0.1,3,0.1,15,2,100,1,7.990328767123287,8.00958904109589,median,8.00958904109589,0
rel0p0300_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p2000,0.03,0.2,0.8,0,0,1,0.97,0.25,0.93,3,0.2,3,0.2,15,3,100,1,7.387260273972602,7.375342465753425,median,7.375342465753425,0
rel0p0300_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p3000,0.03,0.3,0.8,0,0,1,0.97,0.25,0.93,3,0.3,3,0.3,15,4,100,1,6.967260273972602,6.9219178082191775,median,6.9219178082191775,0
rel0p0300_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p4000,0.03,0.4,0.8,0,0,1,0.97,0.25,0.93,3,0.4,3,0.4,15,5,100,1,6.430410958904109,6.445205479452055,median,6.445205479452055,0
rel0p0300_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p5000,0.03,0.5,0.8,0,0,1,0.97,0.25,0.93,3,0.5,3,0.5,15,6,100,1,6.054986301369863,6.054794520547945,median,6.054794520547945,0
rel0p0300_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p6000,0.03,0.6,0.8,0,0,1,0.97,0.25,0.93,3,0.6,3,0.6,15,7,100,1,5.5768219178082195,5.5698630136986305,median,5.5698630136986305,0
rel0p0300_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p7000,0.03,0.7,0.8,0,0,1,0.97,0.25,0.93,3,0.7,3,0.7,15,8,100,1,5.166602739726027,5.164383561643835,median,5.164383561643835,0
rel0p0300_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p8000,0.03,0.8,0.8,0,0,1,0.97,0.25,0.93,3,0.8,3,0.8,15,9,100,1,4.74972602739726,4.757534246575343,median,4.757534246575343,0
rel0p0300_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p9000,0.03,0.9,0.8,0,0,1,0.97,0.25,0.93,3,0.9,3,0.9,15,10,100,1,4.347945205479452,4.346575342465753,median,4.346575342465753,0
rel0p0300_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs1p0000,0.03,1,0.8,0,0,1,0.97,0.25,0.93,3,1,3,1,15,11,100,1,3.959068493150685,3.9657534246575343,median,3.9657534246575343,0
rel0p0320_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p0000,0.032,0,0.8,0,0,1,0.97,0.25,0.93,3.2,0,3.2,0,16,1,100,1,8.175945205479453,8.146575342465754,median,8.146575342465754,0
rel0p0320_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p1000,0.032,0.1,0.8,0,0,1,0.97,0.25,0.93,3.2,0.1,3.2,0.1,16,2,100,1,7.67827397260274,7.698630136986301,median,7.698630136986301,0
rel0p0320_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p2000,0.032,0.2,0.8,0,0,1,0.97,0.25,0.93,3.2,0.2,3.2,0.2,16,3,100,1,7.1790958904109585,7.168493150684931,median,7.168493150684931,0
rel0p0320_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p3000,0.032,0.3,0.8,0,0,1,0.97,0.25,0.93,3.2,0.3,3.2,0.3,16,4,100,1,6.722493150684931,6.7315068493150685,median,6.7315068493150685,0
rel0p0320_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p4000,0.032,0.4,0.8,0,0,1,0.97,0.25,0.93,3.2,0.4,3.2,0.4,16,5,100,1,6.245917808219178,6.242465753424657,median,6.242465753424657,0
rel0p0320_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p5000,0.032,0.5,0.8,0,0,1,0.97,0.25,0.93,3.2,0.5,3.2,0.5,16,6,100,1,5.843808219178082,5.863013698630137,median,5.863013698630137,0
rel0p0320_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p6000,0.032,0.6,0.8,0,0,1,0.97,0.25,0.93,3.2,0.6,3.2,0.6,16,7,100,1,5.469150684931507,5.483561643835616,median,5.483561643835616,0
rel0p0320_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p7000,0.032,0.7,0.8,0,0,1,0.97,0.25,0.93,3.2,0.7,3.2,0.7,16,8,100,1,5.022219178082191,5.00958904109589,median,5.00958904109589,0
rel0p0320_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p8000,0.032,0.8,0.8,0,0,1,0.97,0.25,0.93,3.2,0.8,3.2,0.8,16,9,100,1,4.639287671232877,4.619178082191781,median,4.619178082191781,0
rel0p0320_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p9000,0.032,0.9,0.8,0,0,1,0.97,0.25,0.93,3.2,0.9,3.2,0.9,16,10,100,1,4.257095890410959,4.25068493150685,median,4.25068493150685,0
rel0p0320_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs1p0000,0.032,1,0.8,0,0,1,0.97,0.25,0.93,3.2,1,3.2,1,16,11,100,1,3.914876712328767,3.9082191780821915,median,3.9082191780821915,0
rel0p0340_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p0000,0.034,0,0.8,0,0,1,0.97,0.25,0.93,3.4000000000000004,0,3.4,0,17,1,100,1,7.843589041095891,7.845205479452055,median,7.845205479452055,0
rel0p0340_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p1000,0.034,0.1,0.8,0,0,1,0.97,0.25,0.93,3.4000000000000004,0.1,3.4,0.1,17,2,100,1,7.402109589041096,7.431506849315069,median,7.431506849315069,0
rel0p0340_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p2000,0.034,0.2,0.8,0,0,1,0.97,0.25,0.93,3.4000000000000004,0.2,3.4,0.2,17,3,100,1,6.942356164383561,6.973972602739726,median,6.973972602739726,0
rel0p0340_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p3000,0.034,0.3,0.8,0,0,1,0.97,0.25,0.93,3.4000000000000004,0.3,3.4,0.3,17,4,100,1,6.502328767123288,6.519178082191781,median,6.519178082191781,0
rel0p0340_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p4000,0.034,0.4,0.8,0,0,1,0.97,0.25,0.93,3.4000000000000004,0.4,3.4,0.4,17,5,100,1,6.085150684931507,6.0849315068493155,median,6.0849315068493155,0
rel0p0340_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p5000,0.034,0.5,0.8,0,0,1,0.97,0.25,0.93,3.4000000000000004,0.5,3.4,0.5,17,6,100,1,5.664520547945205,5.653424657534247,median,5.653424657534247,0
rel0p0340_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p6000,0.034,0.6,0.8,0,0,1,0.97,0.25,0.93,3.4000000000000004,0.6,3.4,0.6,17,7,100,1,5.282164383561644,5.284931506849315,median,5.284931506849315,0
rel0p0340_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p7000,0.034,0.7,0.8,0,0,1,0.97,0.25,0.93,3.4000000000000004,0.7,3.4,0.7,17,8,100,1,4.89413698630137,4.8780821917808215,median,4.8780821917808215,0
rel0p0340_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p8000,0.034,0.8,0.8,0,0,1,0.97,0.25,0.93,3.4000000000000004,0.8,3.4,0.8,17,9,100,1,4.538027397260274,4.523287671232877,median,4.523287671232877,0
rel0p0340_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p9000,0.034,0.9,0.8,0,0,1,0.97,0.25,0.93,3.4000000000000004,0.9,3.4,0.9,17,10,100,1,4.166027397260274,4.161643835616438,median,4.161643835616438,0
rel0p0340_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs1p0000,0.034,1,0.8,0,0,1,0.97,0.25,0.93,3.4000000000000004,1,3.4,1,17,11,100,1,3.8124383561643835,3.8013698630136985,median,3.8013698630136985,0
rel0p0360_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p0000,0.036,0,0.8,0,0,1,0.97,0.25,0.93,3.5999999999999996,0,3.6,0,18,1,100,1,7.5609315068493155,7.568493150684931,median,7.568493150684931,0
rel0p0360_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p1000,0.036,0.1,0.8,0,0,1,0.97,0.25,0.93,3.5999999999999996,0.1,3.6,0.1,18,2,100,1,7.141890410958904,7.120547945205479,median,7.120547945205479,0
rel0p0360_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p2000,0.036,0.2,0.8,0,0,1,0.97,0.25,0.93,3.5999999999999996,0.2,3.6,0.2,18,3,100,1,6.709561643835617,6.691780821917808,median,6.691780821917808,0
rel0p0360_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p3000,0.036,0.3,0.8,0,0,1,0.97,0.25,0.93,3.5999999999999996,0.3,3.6,0.3,18,4,100,1,6.310164383561644,6.3054794520547945,median,6.3054794520547945,0
rel0p0360_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p4000,0.036,0.4,0.8,0,0,1,0.97,0.25,0.93,3.5999999999999996,0.4,3.6,0.4,18,5,100,1,5.943150684931507,5.958904109589041,median,5.958904109589041,0
rel0p0360_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p5000,0.036,0.5,0.8,0,0,1,0.97,0.25,0.93,3.5999999999999996,0.5,3.6,0.5,18,6,100,1,5.507643835616438,5.515068493150685,median,5.515068493150685,0
rel0p0360_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p6000,0.036,0.6,0.8,0,0,1,0.97,0.25,0.93,3.5999999999999996,0.6,3.6,0.6,18,7,100,1,5.156410958904109,5.153424657534247,median,5.153424657534247,0
rel0p0360_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p7000,0.036,0.7,0.8,0,0,1,0.97,0.25,0.93,3.5999999999999996,0.7,3.6,0.7,18,8,100,1,4.79517808219178,4.804109589041095,median,4.804109589041095,0
rel0p0360_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p8000,0.036,0.8,0.8,0,0,1,0.97,0.25,0.93,3.5999999999999996,0.8,3.6,0.8,18,9,100,1,4.4585479452054795,4.449315068493151,median,4.449315068493151,0
rel0p0360_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p9000,0.036,0.9,0.8,0,0,1,0.97,0.25,0.93,3.5999999999999996,0.9,3.6,0.9,18,10,100,1,4.079287671232876,4.072602739726028,median,4.072602739726028,0
rel0p0360_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs1p0000,0.036,1,0.8,0,0,1,0.97,0.25,0.93,3.5999999999999996,1,3.6,1,18,11,100,1,3.7435616438356165,3.728767123287671,median,3.728767123287671,0
rel0p0380_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p0000,0.038,0,0.8,0,0,1,0.97,0.25,0.93,3.8,0,3.8,0,19,1,100,1,7.292164383561643,7.3054794520547945,median,7.3054794520547945,0
rel0p0380_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p1000,0.038,0.1,0.8,0,0,1,0.97,0.25,0.93,3.8,0.1,3.8,0.1,19,2,100,1,6.931890410958904,6.936986301369863,median,6.936986301369863,0
rel0p0380_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p2000,0.038,0.2,0.8,0,0,1,0.97,0.25,0.93,3.8,0.2,3.8,0.2,19,3,100,1,6.521260273972603,6.502739726027397,median,6.502739726027397,0
rel0p0380_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p3000,0.038,0.3,0.8,0,0,1,0.97,0.25,0.93,3.8,0.3,3.8,0.3,19,4,100,1,6.141561643835616,6.120547945205479,median,6.120547945205479,0
rel0p0380_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p4000,0.038,0.4,0.8,0,0,1,0.97,0.25,0.93,3.8,0.4,3.8,0.4,19,5,100,1,5.761890410958904,5.761643835616439,median,5.761643835616439,0
rel0p0380_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p5000,0.038,0.5,0.8,0,0,1,0.97,0.25,0.93,3.8,0.5,3.8,0.5,19,6,100,1,5.419315068493151,5.435616438356164,median,5.435616438356164,0
rel0p0380_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p6000,0.038,0.6,0.8,0,0,1,0.97,0.25,0.93,3.8,0.6,3.8,0.6,19,7,100,1,5.028849315068493,5.035616438356165,median,5.035616438356165,0
rel0p0380_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p7000,0.038,0.7,0.8,0,0,1,0.97,0.25,0.93,3.8,0.7,3.8,0.7,19,8,100,1,4.71013698630137,4.6945205479452055,median,4.6945205479452055,0
