param,rel_inf,outcome
rel,86.98881401186173,Probability of eradication
fy,11.947811714542741,Probability of eradication
p,0.5572735556662962,Probability of eradication
c,0.1831091717208968,Probability of eradication
q,0.10900045755831798,Probability of eradication
mu,0.0948694390580134,Probability of eradication
fs,0.07620252414059125,Probability of eradication
j,0.042919125451390365,Probability of eradication
