param,rel_inf,outcome
rel,91.97731746932544,Time to eradication
p,3.0613364042827507,Time to eradication
fs,1.9223209727693173,Time to eradication
fy,1.3816084488380425,Time to eradication
j,0.5950642535309204,Time to eradication
c,0.5742887532537381,Time to eradication
q,0.3951616253006008,Time to eradication
mu,0.09290207269917868,Time to eradication
