param,rel_inf,outcome
fy,88.89676423919828,Probability of eradication
p,5.463616268748982,Probability of eradication
c,3.241263605304599,Probability of eradication
j,0.8975136916994996,Probability of eradication
q,0.6323144966483933,Probability of eradication
fs,0.5630557015737364,Probability of eradication
mu,0.30547199682652565,Probability of eradication
