param,rel_inf,outcome
fy,41.91072309424393,Time to eradication
p,19.424038211066232,Time to eradication
c,15.300519915620876,Time to eradication
fs,12.830925744374301,Time to eradication
j,5.425125066598972,Time to eradication
q,3.7955182401729415,Time to eradication
mu,1.3131497279227624,Time to eradication
